id,longitude,latitude,area
0,-122.7680591176306,38.43410102488431,70237.61456442857
1,-122.76908132493669,38.43287033356009,39832.949191775086
2,-121.97106846884546,38.01553738707059,64942.93333745672
3,-121.97158780878576,38.01488245815654,16458.856170662235
4,-121.95808243463568,38.013007925696954,62402.39292178214
5,-121.95811563709972,38.01483337893886,427.25310677368424
6,-121.9705456604438,38.01467455748994,9793.402477789525
7,-121.96555360221849,38.01451223129811,3568.604756886347
8,-121.96513898524485,38.01448378876027,14719.783757028581
9,-121.96295247262496,38.015028728956274,30587.18684191971
10,-122.46018040193592,37.747186144459,32264.97631823472
11,-123.07595493368744,38.38240100135469,142618.02696055287
12,-121.96888616628466,38.01532189983352,12354.921071780853
13,-121.9679541030989,38.0154832916585,12949.562979523718
14,-121.84237754400982,37.27153056666327,28100.644085515745
15,-121.84447672914057,37.269498626525106,215130.7362395
16,-122.38772386333709,37.672269404301424,3143.6030693796997
17,-122.38714141332751,37.67326461078134,289.1685554006797
18,-122.38536986702259,37.673600526324826,4074.49232429479
19,-122.38709141613074,37.67353577458044,305.6472355058787
20,-122.38529546901529,37.67468709586187,68000.75607483389
21,-122.38744284563101,37.67332778006343,287.15675533781985
22,-122.3879103819404,37.67357377143466,1259.2556473687928
23,-122.3873797311762,37.67358428654072,282.2407668180569
24,-122.38526858375089,37.67518635604783,8528.16182598649
25,-121.90512246281632,37.26546601089044,40063.703472163186
26,-121.90655408062922,37.26664870167929,40849.93612191132
27,-121.90592717520951,37.265989448774064,27584.281680078788
28,-121.9651680414611,37.2219022421568,7791.710855117845
29,-122.41317269120609,37.74858425477567,5700.296061875769
30,-122.41258956426788,37.74828419978709,1987.6366329683879
31,-121.855943059388,37.33026950215594,32636.875645691664
32,-121.8551022012779,37.329382678675344,24047.116503657835
33,-122.70695092037425,38.32449222914161,13410.482531240612
34,-122.70869329391847,38.325114242051036,38107.073866621504
35,-122.70537822021106,38.32290522953714,100603.31306608404
36,-122.71858329071004,38.32463267757577,445439.69984329335
37,-121.85393813262847,37.33149534135685,35300.55707854724
38,-121.8515322685375,37.32895748225428,120523.9358919147
39,-121.7910073796371,37.23238852140092,21940.92911471091
40,-121.79225280700292,37.23136705462109,36063.419605797484
41,-121.79096767950311,37.230857098990455,41670.18209210931
42,-122.4443136514689,37.73112058966007,36114.018719307205
43,-122.44434380674328,37.73156950185169,3919.0395078485044
44,-122.44467891017909,37.73197880717642,37799.353602035735
45,-122.26060611935627,38.13143707566419,9360.543741857731
46,-122.70695189167482,38.47298919036138,33953.52755429799
47,-122.3922659123341,37.75912422553324,292936.0976872369
48,-122.39241542495347,37.764574820969315,981.6448659032395
49,-122.04706947713629,38.28077966329922,17784.87622962813
50,-122.8114116867442,38.459775754728845,1302180.8961122744
51,-121.99847994291532,38.24475208763466,22669.52363918405
52,-121.99521103871622,38.24356841745472,267298.99007011135
53,-121.99671678987175,38.24523871679035,20688.574305211732
54,-122.64132318823614,38.27140923979909,47835.66846921058
55,-122.63911869076512,38.27215477000947,36887.35742867624
56,-122.63876941645171,38.2704457256319,524.644251017677
57,-122.03702332204973,38.24188331554326,13226.013362292908
58,-122.03618608947221,38.24228751068687,393.6838990317787
59,-121.87349751563174,37.29391023129741,4138.171245419808
60,-121.66682150111515,37.156449923041826,654093.5739238836
61,-121.67196256362014,37.15519815675415,4072.2879418928405
62,-121.67091472898737,37.154192203231545,7982.300033620575
63,-122.03935282004001,38.27746919069228,103504.17060714353
64,-122.03907721024751,38.279941509510195,99631.7771163979
65,-121.67153398500813,37.15478230957112,5343.70654206162
66,-121.6722038067208,37.155433939546285,1427.6259417088427
67,-122.2178018248727,38.06937276445294,47693.80417284287
68,-121.94802124880488,38.34129419877347,14024.084532353205
69,-121.9471180929053,38.341328546263064,12715.233150864196
70,-122.08807137285407,37.40329349816657,19025.443932130678
71,-122.08784877448461,37.403983524197855,18513.52041257258
72,-122.93408735923407,38.7261973071749,433249.2956826528
73,-122.40735455225413,37.655560961335574,2347.161388982595
74,-122.00633824422512,37.34008000541031,52691.14627182867
75,-122.00893158483169,37.341158661535324,24575.324232782717
